restaurant,menu_name,menu_category,weight_g,price_krw,calorie_kcal,protein_g,sugar_g,saturated_fat_g,sodium_mg,caffeine_mg,nutrition_basis,total_weight_g
교촌치킨,국물맵떡[S],사이드,,5500,135,4,8,0.2,470,,per_100g,
교촌치킨,국물맵떡,사이드,,9000,140,4,6,0,610,,per_100g,
교촌치킨,퐁듀치즈볼(3ea),사이드,,3500,365,4,18,7,570,,per_100g,
교촌치킨,블랙시크릿팝콘,사이드,,2000,175,2,2,4,430,,per_serving,
교촌치킨,포테토칩 교촌간장치킨맛(55g),사이드,55,1700,320,3.5,3,7,250,,per_serving,
교촌치킨,퐁듀치즈볼(6ea),사이드,,6000,365,4,18,7,570,,per_100g,
교촌치킨,고르곤치즈볼(3ea),사이드,,3500,375,7,16,6,500,,per_100g,
교촌치킨,웨지감자,사이드,,4000,270,4,0,1.2,500,,per_100g,
교촌치킨,고르곤치즈볼(6ea),사이드,,6000,375,7,16,6,500,,per_100g,
교촌치킨,칩카사바,사이드,,2000,520,1,3,4.5,400,,per_100g,
교촌치킨,포테이토앤칩스(점보팩),사이드,,6500,400,3,9,4,880,,per_100g,
교촌치킨,소이파채샐러드,사이드,,4000,105,1,25,0,680,,per_100g,
교촌치킨,샐러드,사이드,,5000,15,1,0,0,12,,per_100g,
교촌치킨,"아, 귀한 먹태[홀전용메뉴]",사이드,,13000,345,59,21,0.6,1180,,per_100g,
교촌치킨,모둠어묵탕[홀전용메뉴],사이드,,16000,65,4,1,0.2,520,,per_100g,
교촌치킨,블랙시크릿오리지날,,,,320,23,8,2.8,361,,per_100g,
교촌치킨,블랙시크릿콤보,,,,330,22,8,2.7,382,,per_100g,
교촌치킨,블랙시크릿순살,,,,365,21,10,3.3,414,,per_100g,
