restaurant,menu_name,menu_category,weight_g,price_krw,calorie_kcal,protein_g,sugar_g,saturated_fat_g,sodium_mg,caffeine_mg,nutrition_basis,total_weight_g
파파존스,치킨 바베큐(F 씬),피자,101,,256,13,1,4,566,,,
파파존스,치킨 바베큐(F 골드링씬),피자,133,,337,16,4,6,669,,,
파파존스,치킨 바베큐(F 스파이시 갈릭 치즈롤),피자,160,,385,22,4,6,938,,,
파파존스,치킨 바베큐(F 체다치즈롤),피자,161,,375,21,3,6,999,,,
파파존스,치킨 바베큐(P 오리지널),피자,151,,345,18,4,4,868,,,
파파존스,치킨 바베큐(P 골드링),피자,180,,437,24,8,6,987,,,
파파존스,치킨 바베큐(P 치즈롤),피자,173,,407,23,3,6,1047,,,
파파존스,치킨 바베큐(P 스파이시 갈릭 치즈롤),피자,172,,415,24,4,7,1010,,,
파파존스,치킨 바베큐(P 체다치즈롤),피자,173,,403,23,4,6,1076,,,
파파존스,가든 스페셜(R 오리지널),피자,143,,306,12,5,4,671,,,
파파존스,가든 스페셜(L 오리지널),피자,194,,416,16,6,5,910,,,
파파존스,가든 스페셜(L 골드링),피자,114,,258,11,5,4,508,,,
파파존스,가든 스페셜(L 치즈롤),피자,129,,285,12,3,5,638,,,
파파존스,가든 스페셜(L 크루아상),피자,172,,437,15,4,8,788,,,
파파존스,가든 스페셜(L 스파이시 갈릭 치즈롤),피자,127,,286,12,3,5,608,,,
파파존스,가든 스페셜(L 체다치즈롤),피자,111,,243,10,3,4,564,,,
파파존스,가든 스페셜(F 오리지널),피자,131,,280,11,4,4,612,,,
파파존스,가든 스페셜(F 골드링),피자,170,,385,16,8,6,759,,,
파파존스,가든 스페셜(F 치즈롤),피자,172,,379,16,4,7,848,,,
파파존스,가든 스페셜(F 씬),피자,129,,307,12,1,5,592,,,
파파존스,가든 스페셜(F 골드링씬),피자,168,,397,15,6,7,687,,,
파파존스,가든 스페셜(F 스파이시 갈릭 치즈롤),피자,167,,376,16,4,7,799,,,
파파존스,가든 스페셜(F 체다치즈롤),피자,154,,336,14,4,6,780,,,
파파존스,가든 스페셜(P 오리지널),피자,133,,284,11,4,4,623,,,
파파존스,가든 스페셜(P 골드링),피자,184,,416,17,9,6,820,,,
파파존스,가든 스페셜(P 치즈롤),피자,173,,381,16,4,7,854,,,
파파존스,가든 스페셜(P 스파이시 갈릭 치즈롤),피자,167,,377,16,4,7,800,,,
파파존스,가든 스페셜(P 체다치즈롤),피자,165,,361,15,4,6,840,,,
파파존스,더블 치즈버거(L 오리지널),피자,197,,572,21,10,9,1178,,,
파파존스,더블 치즈버거(L 골드링),피자,115,,355,14,9,7,657,,,
파파존스,더블 치즈버거(L 치즈롤),피자,131,,392,16,5,8,825,,,
파파존스,더블 치즈버거(L 크루아상),피자,174,,602,19,7,14,1020,,,
파파존스,더블 치즈버거(L 스파이시 갈릭 치즈롤),피자,129,,394,16,5,9,786,,,
파파존스,더블 치즈버거(L 체다치즈롤),피자,113,,334,14,4,7,730,,,
파파존스,더블 치즈버거(F 오리지널),피자,133,,385,14,7,6,792,,,
파파존스,더블 치즈버거(F 골드링),피자,172,,530,21,13,10,982,,,
파파존스,더블 치즈버거(F 치즈롤),피자,174,,521,21,6,11,1097,,,
파파존스,더블 치즈버거(F 씬),피자,131,,423,16,2,9,766,,,
파파존스,더블 치즈버거(F 골드링씬),피자,170,,547,19,9,13,889,,,
파파존스,더블 치즈버거(F 스파이시 갈릭 치즈롤),피자,169,,518,21,7,11,1033,,,
파파존스,더블 치즈버거(F 체다치즈롤),피자,156,,462,19,6,10,1010,,,
파파존스,더블 치즈버거(P 오리지널),피자,135,,392,15,7,6,806,,,
파파존스,더블 치즈버거(P 골드링),피자,186,,573,23,14,11,1062,,,
파파존스,더블 치즈버거(P 치즈롤),피자,175,,525,22,6,11,1105,,,
파파존스,더블 치즈버거(P 스파이시 갈릭 치즈롤),피자,169,,519,21,7,11,1035,,,
파파존스,더블 치즈버거(P 체다치즈롤),피자,168,,498,20,7,11,1087,,,
파파존스,스파이시 이탈리안(L 오리지널),피자,179,,491,20,7,8,1147,,,
파파존스,스파이시 이탈리안(L 골드링),피자,105,,304,13,6,6,640,,,
파파존스,스파이시 이탈리안(L 치즈롤),피자,119,,336,15,4,7,803,,,
파파존스,스파이시 이탈리안(L 크루아상),피자,158,,516,18,5,13,993,,,
파파존스,스파이시 이탈리안(L 스파이시 갈릭 치즈롤),피자,117,,338,15,4,8,766,,,
파파존스,스파이시 이탈리안(L 체다치즈롤),피자,102,,287,13,3,6,711,,,
파파존스,스파이시 이탈리안(F 오리지널),피자,121,,330,13,5,5,772,,,
파파존스,스파이시 이탈리안(F 골드링),피자,156,,455,20,10,9,956,,,
파파존스,스파이시 이탈리안(F 치즈롤),피자,158,,447,20,5,10,1069,,,
파파존스,스파이시 이탈리안(F 씬),피자,119,,363,15,2,8,746,,,
파파존스,스파이시 이탈리안(F 골드링씬),피자,155,,469,18,7,11,866,,,
파파존스,스파이시 이탈리안(F 스파이시 갈릭 치즈롤),피자,154,,445,20,5,10,1007,,,
파파존스,스파이시 이탈리안(F 체다치즈롤),피자,142,,396,18,4,9,984,,,
파파존스,스파이시 이탈리안(P 오리지널),피자,123,,336,14,5,6,785,,,
파파존스,스파이시 이탈리안(P 골드링),피자,169,,492,22,11,9,1034,,,
파파존스,스파이시 이탈리안(P 치즈롤),피자,159,,450,20,5,10,1077,,,
