restaurant,menu_name,menu_category,weight_g,price_krw,calorie_kcal,protein_g,sugar_g,saturated_fat_g,sodium_mg,caffeine_mg,nutrition_basis,total_weight_g
미스터피자,하와이안스페셜 골드 M,피자,186,,437,21,12,7,688,,,
미스터피자,하와이안스페셜 크림치즈 M,피자,193,,456,20,13,8,659,,,
미스터피자,하와이안스페셜 에그타르트 M,피자,186,,451,20,15,7,600,,,
미스터피자,하와이안스페셜 시그니처 M,피자,171,,411,21,10,5,632,,,
미스터피자,하와이안스페셜 치즈캡 M,피자,183,,435,24,9,7,746,,,
미스터피자,하와이안스페셜 씬크러스트 L,피자,130,,368,18,10,6,469,,,
미스터피자,하와이안스페셜 오리진 L,피자,96,,232,11,6,2,404,,,
미스터피자,하와이안스페셜 골드 L,피자,113,,274,13,8,4,468,,,
미스터피자,하와이안스페셜 크림치즈 L,피자,117,,285,12,9,4,449,,,
미스터피자,하와이안스페셜 에그타르트 L,피자,113,,281,12,10,4,413,,,
미스터피자,하와이안스페셜 시그니처 L,피자,102,,255,12,7,3,428,,,
미스터피자,하와이안스페셜 치즈캡 L,피자,109,,266,14,6,3,487,,,
미스터피자,레터링 피자 오리진 L,피자,102,,273,12,5,5,420,,,
미스터피자,더블 치즈 피자 씬크러스트 M,피자,98,,277,15,3,8,307,,,
미스터피자,더블 치즈 피자 오리진 M,피자,130,,325,17,5,7,537,,,
미스터피자,더블 치즈 피자 시그니처 M,피자,142,,368,20,5,8,583,,,
미스터피자,더블 치즈 피자 치즈캡 M,피자,154,,392,23,5,9,698,,,
미스터피자,더블 치즈 피자 씬크러스트 L,피자,110,,314,16,4,9,350,,,
미스터피자,더블 치즈 피자 오리진 L,피자,164,,410,20,6,7,690,,,
미스터피자,더블 치즈 피자 시그니처 L,피자,176,,457,23,6,9,738,,,
미스터피자,더블 치즈 피자 치즈캡 L,피자,189,,479,26,6,10,855,,,
미스터피자,시카고딥 노엣지 M,피자,157,,422,24,4,7,664,,,
미스터피자,시카고딥 노엣지 L,피자,109,,273,15,2,4,448,,,
